SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-23-2019,Single Family Residential,19 Pinehurst Way,San Francisco,CA,94127,1650000,3,4.0,Mount Davidson Manor,3100,3384,1928,2,532,,Sold,,,http://www.redfin.com/CA/San-Francisco/19-Pinehurst-Way-94127/home/1855060,San Francisco MLS,482344,N,Y,37.727251,-122.4658971
PAST SALE,April-3-2019,Single Family Residential,7 Winfield St,San Francisco,CA,94110,1412000,3,2.0,Bernal Heights,1547,1751,1916,22,913,,Sold,,,http://www.redfin.com/CA/San-Francisco/7-Winfield-St-94110/home/1122330,San Francisco MLS,480481,N,Y,37.7451393,-122.4167405
PAST SALE,April-24-2019,Single Family Residential,135 Sea Cliff Ave,San Francisco,CA,94121,5500000,3,3.0,Sea Cliff,3085,3500,1961,1,1783,,Sold,,,http://www.redfin.com/CA/San-Francisco/135-Sea-Cliff-Ave-94121/home/1969272,San Francisco MLS,482947,N,Y,37.7885245,-122.4874767
PAST SALE,February-8-2019,Single Family Residential,320 Sea Cliff Ave,San Francisco,CA,94121,11700000,4,4.5,Sea Cliff,5200,6973,1926,76,2250,,Sold,,,http://www.redfin.com/CA/San-Francisco/320-Sea-Cliff-Ave-94121/home/1278694,San Francisco MLS,472538,N,Y,37.7883364,-122.489776
PAST SALE,February-20-2019,Single Family Residential,643 33rd Ave,San Francisco,CA,94121,2100000,4,2.5,Outer Richmond,,,,64,,,Sold,,,http://www.redfin.com/CA/San-Francisco/643-33rd-Ave-94121/home/2021234,San Francisco MLS,480195,N,Y,37.7769526,-122.4933043
PAST SALE,March-20-2019,Single Family Residential,495 12th Ave,San Francisco,CA,94118,3000000,5,4.5,Inner Richmond,3090,3371,1916,36,971,,Sold,,,http://www.redfin.com/CA/San-Francisco/495-12th-Ave-94118/home/1385270,San Francisco MLS,480592,N,Y,37.7790037,-122.4708305
PAST SALE,March-22-2019,Single Family Residential,466 32nd Ave,San Francisco,CA,94121,2150000,3,2.5,Central Richmond,1953,3000,1921,34,1101,,Sold,,,http://www.redfin.com/CA/San-Francisco/466-32nd-Ave-94121/home/1051345,San Francisco MLS,481013,N,Y,37.7804476,-122.4920751
PAST SALE,April-2-2019,Single Family Residential,254 11th Ave,San Francisco,CA,94118,3380000,4,3.5,Inner Richmond,2800,3000,1902,23,1207,,Sold,,,http://www.redfin.com/CA/San-Francisco/254-11th-Ave-94118/home/1128325,San Francisco MLS,482075,N,Y,37.7835457,-122.469623
PAST SALE,April-3-2019,Single Family Residential,353 31st Ave,San Francisco,CA,94121,2220000,4,2.5,Central Richmond,2689,4011,1916,22,826,,Sold,,,http://www.redfin.com/CA/San-Francisco/353-31st-Ave-94121/home/606607,San Francisco MLS,481044,N,Y,37.7825634,-122.4915777
PAST SALE,March-20-2019,Single Family Residential,3607 Market St,San Francisco,CA,94131,1500000,3,2.0,Twin Peaks,2353,2722,1929,36,637,,Sold,,,http://www.redfin.com/CA/San-Francisco/3607-Market-St-94131/home/1073030,Bridge MLS,40850892,N,Y,37.756033,-122.4407226
PAST SALE,April-1-2019,Single Family Residential,1222 Shafter Ave,San Francisco,CA,94124,1015000,5,2.5,Bayview,1990,3750,1919,24,510,,Sold,,,http://www.redfin.com/CA/San-Francisco/1222-Shafter-Ave-94124/home/1605692,San Francisco MLS,481981,N,Y,37.7271972,-122.3835951
